********************************************************************************
This is automation Script This file is created at:Fri Jun 20 13:06:53 2025
********************************************************************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4928, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'McUICnt.exe'}
{'pid': 4932, 'username': None, 'name': 'svchost.exe'}
{'pid': 4940, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 5048, 'username': None, 'name': 'mysqld.exe'}
{'pid': 5056, 'username': None, 'name': 'PEFService.exe'}
{'pid': 5064, 'username': None, 'name': 'oracle.exe'}
{'pid': 5072, 'username': None, 'name': 'RtkAudUService64.exe'}
{'pid': 5080, 'username': None, 'name': 'RstMwService.exe'}
{'pid': 5092, 'username': None, 'name': 'sqlwriter.exe'}
{'pid': 5108, 'username': None, 'name': 'ipf_uf.exe'}
{'pid': 5124, 'username': None, 'name': 'svchost.exe'}
{'pid': 5176, 'username': None, 'name': 'WMIRegistrationService.exe'}
{'pid': 5208, 'username': None, 'name': 'svchost.exe'}
{'pid': 5324, 'username': None, 'name': 'MsMpEng.exe'}
{'pid': 5496, 'username': None, 'name': 'svchost.exe'}
{'pid': 5588, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedge.exe'}
{'pid': 5676, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'SystemSettings.exe'}
{'pid': 5736, 'username': None, 'name': 'mfevtps.exe'}
{'pid': 5776, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'UserOOBEBroker.exe'}
{'pid': 5796, 'username': None, 'name': 'mysqld.exe'}
{'pid': 5856, 'username': None, 'name': 'conhost.exe'}
{'pid': 5872, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 6044, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 6140, 'username': None, 'name': 'RtkAudUService64.exe'}
{'pid': 6184, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'uihost.exe'}
{'pid': 6404, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'OneDrive.exe'}
{'pid': 6460, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 6488, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'HxTsr.exe'}
{'pid': 6540, 'username': None, 'name': 'AsusScreenXpertUI.exe'}
{'pid': 6768, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Widgets.exe'}
{'pid': 6792, 'username': None, 'name': 'csrss.exe'}
{'pid': 6808, 'username': None, 'name': 'svchost.exe'}
{'pid': 6820, 'username': None, 'name': 'MMSSHOST.exe'}
{'pid': 6828, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'IGCC.exe'}
{'pid': 6932, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'AsusSoftwareManagerAgent.exe'}
{'pid': 7084, 'username': None, 'name': 'svchost.exe'}
{'pid': 7196, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 7292, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 7296, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'OpenConsole.exe'}
{'pid': 7372, 'username': None, 'name': 'ProtectedModuleHost.exe'}
{'pid': 7456, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RtkAudUService64.exe'}
{'pid': 7832, 'username': None, 'name': 'McCSPServiceHost.exe'}
{'pid': 7952, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 7976, 'username': None, 'name': 'svchost.exe'}
{'pid': 8216, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 8228, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 8276, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'smartscreen.exe'}
{'pid': 8508, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'WindowsTerminal.exe'}
{'pid': 8884, 'username': None, 'name': 'AggregatorHost.exe'}
{'pid': 8912, 'username': None, 'name': 'svchost.exe'}
{'pid': 9092, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'AsusOSD.exe'}
{'pid': 9160, 'username': None, 'name': 'ModuleCoreService.exe'}
{'pid': 9192, 'username': None, 'name': 'conhost.exe'}
{'pid': 9460, 'username': None, 'name': 'NisSrv.exe'}
{'pid': 9684, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 9796, 'username': None, 'name': 'svchost.exe'}
{'pid': 9844, 'username': None, 'name': 'svchost.exe'}
{'pid': 9940, 'username': None, 'name': 'SearchIndexer.exe'}
{'pid': 10036, 'username': None, 'name': 'svchost.exe'}
{'pid': 10096, 'username': None, 'name': 'svchost.exe'}
{'pid': 10396, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'ctfmon.exe'}
{'pid': 10880, 'username': None, 'name': 'sqlceip.exe'}
{'pid': 10892, 'username': None, 'name': 'sqlservr.exe'}
{'pid': 10928, 'username': None, 'name': 'svchost.exe'}
{'pid': 11376, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'FileCoAuth.exe'}
{'pid': 11452, 'username': None, 'name': 'svchost.exe'}
{'pid': 11576, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 11656, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'ipf_helper.exe'}
{'pid': 11736, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 11776, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 11804, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 11928, 'username': None, 'name': 'svchost.exe'}
{'pid': 11960, 'username': None, 'name': 'svchost.exe'}
